bmId,name,title,genres,keywords
1,이스트엔드,데이터로 세상을 바꾸는 AI 혁신 플랫폼,패션 및 의류,
2,매스프레소,콴다: 맞춤형 AI 학습 솔루션의 미래,AI 및 머신러닝|지역커뮤니티 및 네트워크,
3,오피지지,게이머를 위한 글로벌 서비스 혁신 플랫폼,온라인 게임|데이터 분석 및 처리,
4,우천,미래를 위한 지속 가능한 녹색 기술,생명과학 및 바이오테크|ESG,
5,아토플렉스,분자진단으로 혁신하는 의료기기 솔루션,"중고기술(자동차, 산업 기계)|생명과학 및 바이오테크",
6,등자,"자전거 클릿 페달의 새로운 기준, 등자","자전거|저기술(전통 공예품, 소규모 생산품)",
7,설랩,유황온천수 기반 스킨케어의 혁명,뷰티 및 웰니스|R&D 및 실험 서비스,
8,엠엘피,"장애인을 위한 맞춤형 이동 솔루션, 혁신의 시작","중저기술(일반 기계, 소비재)|R&D 및 실험 서비스",
9,아큐랩,반려동물의 사소한 변화도 기억하는 스마트 체중계 ‘플랜이공 웨이트,반려동물|IT 하드웨어 및 디바이스,
10,에이유,자율주행을 위한 레이더 기술 혁신,"중고기술(자동차, 산업 기계)|AI 및 머신러닝",
11,에이르랩,내 피부의 욕심을 채우는 레이저크림,"뷰티 및 웰니스|중저기술(일반 기계, 소비재)",
12,리아,미래형 스마트 농업 솔루션의 선두주자,간편식/밀키트,
13,유니아이,AI 기반으로 달라지는 양계 솔루션의 혁신,AI 및 머신러닝|생명과학 및 바이오테크,
14,코코리색채연구소,"나만의 색, 나만의 가치 ­ 퍼스널 컬러 연구소",컨설팅|뷰티 및 웰니스,
15,마이띵스,스마트 농업을 위한 종합 플랫폼 솔루션,로컬푸드|SaaS(Software as a Service),
16,이노복스,"완벽한 성분, 자연을 담은 화장품 혁신",SaaS(Software as a Service)|AI 및 머신러닝,
17,필상,AI와 함께 사회적 문제를 해결하다,정보 보안 및 사이버 보안|AI 및 머신러닝,
18,솔리드이엔지,3DPLM과 ICT 혁신의 선두 기업,SaaS(Software as a Service),
19,오믈렛,생성형 AI로 자동화된 의사 결정의 미래,AI 및 머신러닝|컨설팅,
20,에코마린,,,
21,아이큐브스,뼈의 진동으로 소리를 듣다,,
